StartTime: 2021-09-13 17:08:01.572
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
0x50	17:19:46.567	-0.5391	-0.7236	-0.4297	-0.3052	-0.1221	-0.3052	-120.7013	32.6129	175.3802	0.0000 
0x50	17:19:46.568	-0.5400	-0.7280	-0.4355	0.1221	0.0000	-0.1221	-120.7013	32.6129	175.3802	0.0000 
0x50	17:19:46.568	-0.5381	-0.7275	-0.4326	0.6714	0.4272	0.1221	-120.6958	32.6129	175.3748	0.0000 
0x50	17:19:46.568	-0.5425	-0.7251	-0.4292	0.0610	0.0000	0.0610	-120.6958	32.6129	175.3748	0.0000 
0x50	17:19:46.568	-0.5425	-0.7266	-0.4316	-0.4272	-0.2441	0.0000	-120.6958	32.6129	175.3748	0.0000 
0x50	17:19:46.568	-0.5391	-0.7271	-0.4331	-0.0610	-0.0610	0.0000	-120.6958	32.6129	175.3802	0.0000 
0x50	17:19:46.572	-0.5391	-0.7266	-0.4326	0.4883	0.3052	0.1221	-120.6958	32.6129	175.3748	0.0000 
0x50	17:19:46.578	-0.5420	-0.7222	-0.4272	0.0000	0.0610	0.0610	-120.6958	32.6129	175.3748	0.0000 
0x50	17:19:46.583	-0.5396	-0.7246	-0.4312	-0.6104	-0.3052	-0.2441	-120.7013	32.6129	175.3748	0.0000 
0x50	17:19:46.588	-0.5396	-0.7280	-0.4326	-0.2441	-0.0610	-0.3052	-120.7013	32.6129	175.3748	0.0000 
0x50	17:19:46.593	-0.5391	-0.7241	-0.4316	0.4272	0.3662	0.0000	-120.6958	32.6129	175.3748	0.0000 
0x50	17:19:46.598	-0.5386	-0.7227	-0.4277	0.1221	0.0000	-0.1221	-120.6958	32.6129	175.3748	0.0000 
0x50	17:19:46.603	-0.5396	-0.7261	-0.4272	-0.7935	-0.4883	-0.4883	-120.7013	32.6074	175.3802	0.0000 
0x50	17:19:46.607	-0.5352	-0.7251	-0.4316	-0.3662	-0.1831	-0.1221	-120.7013	32.6074	175.3802	0.0000 
0x50	17:19:46.612	-0.5405	-0.7266	-0.4312	0.5493	0.4272	0.3052	-120.7013	32.6129	175.3748	0.0000 
