StartTime: 2022-04-09 15:34:42.727
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
0x50	15:36:45.575	-0.4800	0.1743	-0.8755	0.2441	0.9766	-2.7466	168.4644	27.3010	-98.7396	0.0000 
0x50	15:36:45.696	-0.4980	0.1777	-0.8657	0.1221	0.3662	-6.7749	168.6182	27.3944	-98.3881	0.0000 
0x50	15:36:45.785	-0.4712	0.1655	-0.8638	-1.9531	1.1597	-7.0190	168.9478	27.6746	-97.5586	0.0000 
0x50	15:36:45.905	-0.4766	0.1655	-0.8857	-3.9673	1.1597	-5.1880	169.2389	27.4768	-96.2897	0.0000 
0x50	15:36:45.995	-0.4805	0.1475	-0.8765	-0.5493	4.5166	-7.6904	169.3103	27.4493	-95.7349	0.0000 
0x50	15:36:46.115	-0.4409	0.1528	-0.8213	2.9297	6.1035	-9.9487	170.2991	27.5208	-94.6362	0.0000 
0x50	15:36:46.205	-0.4546	0.1318	-0.8623	-2.9297	2.9907	0.7935	170.4858	26.9879	-94.0869	0.0000 
0x50	15:36:46.355	-0.4775	0.1265	-0.9116	2.8687	-5.9814	-0.4272	170.2551	27.0374	-94.1199	0.0000 
0x50	15:36:46.415	-0.4575	0.1602	-0.8579	1.2817	-1.0376	0.0000	170.4529	27.2571	-94.1309	0.0000 
0x50	15:36:46.535	-0.4580	0.1431	-0.8833	0.2441	-1.7090	-0.1221	170.4254	27.2406	-94.0924	0.0000 
0x50	15:36:46.594	-0.4541	0.1411	-0.8706	1.2817	-1.9531	1.1597	170.4803	27.3175	-94.0594	0.0000 
0x50	15:36:46.745	-0.4673	0.1450	-0.8833	0.9155	0.3662	0.3052	170.5573	27.3450	-94.0485	0.0000 
0x50	15:36:46.805	-0.4673	0.1396	-0.8818	0.7935	0.3662	-0.1831	170.6726	27.3120	-93.9990	0.0000 
0x50	15:36:46.925	-0.4575	0.1396	-0.8770	2.1973	-0.7324	-0.4883	170.8649	27.3505	-93.8947	0.0000 
0x50	15:36:47.015	-0.4653	0.1353	-0.8765	1.2817	0.0610	0.0610	170.9583	27.3724	-93.9221	0.0000 
0x50	15:36:47.135	-0.4707	0.1304	-0.8882	0.6714	-0.0610	-0.1831	171.0187	27.3615	-93.8947	0.0000 
0x50	15:36:47.225	-0.4731	0.1230	-0.8838	3.5400	-2.5635	-4.0283	171.3043	27.5262	-93.7189	0.0000 
0x50	15:36:47.375	-0.4688	0.1274	-0.8550	4.3945	-3.1128	-2.9907	171.8811	27.9712	-93.3344	0.0000 
0x50	15:36:47.512	-0.4663	0.1182	-0.8730	1.7700	-1.1597	-1.3428	172.2656	28.1964	-93.1586	0.0000 
0x50	15:36:47.555	-0.4658	0.1157	-0.8691	0.1831	1.4648	-0.7935	172.3755	28.1030	-93.0432	0.0000 
0x50	15:36:47.645	-0.4829	0.1138	-0.8804	0.2441	-0.9155	-2.6855	172.4304	28.0701	-92.8839	0.0000 
0x50	15:36:47.825	-0.4780	0.1055	-0.8911	1.4648	0.1221	-4.2725	172.6721	28.1360	-92.4225	0.0000 
0x50	15:36:47.929	-0.4619	0.1123	-0.8691	-0.4883	-0.4272	0.1831	172.7985	28.2129	-92.2632	0.0000 
0x50	15:36:47.975	-0.4780	0.0986	-0.8677	-1.0986	1.0986	0.0610	172.6831	28.1525	-92.2412	0.0000 
0x50	15:36:48.128	-0.4785	0.1123	-0.8711	-1.0986	1.7090	-0.1221	172.5842	28.0481	-92.1918	0.0000 
0x50	15:36:48.185	-0.4727	0.1064	-0.8818	-0.2441	-0.3052	-0.7324	172.4304	27.9767	-92.1533	0.0000 
0x50	15:36:48.329	-0.4839	0.1138	-0.8818	0.0610	-0.1221	0.0000	172.3865	28.0591	-92.1533	0.0000 
0x50	15:36:48.395	-0.4761	0.1118	-0.8696	-0.7324	0.4272	-0.1221	172.3590	28.0920	-92.1039	0.0000 
0x50	15:36:48.455	-0.4790	0.1108	-0.8896	0.0000	0.6104	-0.2441	172.3535	27.9877	-91.9446	0.0000 
0x50	15:36:48.635	-0.4761	0.1133	-0.8647	0.9766	-1.0986	-1.1597	172.5348	28.1030	-91.7688	0.0000 
0x50	15:36:48.665	-0.4663	0.1147	-0.8691	1.2207	-1.2207	-2.2583	172.6996	28.2129	-91.5875	0.0000 
0x50	15:36:48.785	-0.4702	0.1152	-0.8716	-1.5259	0.7324	0.0000	172.7051	28.1964	-91.4996	0.0000 
0x50	15:36:48.940	-0.4849	0.1060	-0.8901	-0.4272	1.0986	-1.4038	172.6007	28.0096	-91.3898	0.0000 
0x50	15:36:48.995	-0.4688	0.1108	-0.8760	0.7935	-0.4883	-1.0986	172.6996	28.0261	-91.1865	0.0000 
0x50	15:36:49.085	-0.4746	0.1079	-0.8804	0.1221	0.4272	0.0610	172.7380	28.0481	-91.1041	0.0000 
0x50	15:36:49.235	-0.4688	0.1064	-0.8828	0.9766	-0.2441	-0.1221	172.8314	28.0316	-91.0437	0.0000 
0x50	15:36:49.295	-0.4712	0.1089	-0.8779	0.8545	0.4272	0.1831	172.9303	27.9987	-91.0107	0.0000 
0x50	15:36:49.415	-0.4741	0.1084	-0.8789	0.3662	0.3662	0.0000	172.9742	27.9822	-90.9943	0.0000 
0x50	15:36:49.553	-0.4678	0.1074	-0.8779	0.3052	0.0610	0.7324	173.0017	27.9547	-91.0107	0.0000 
0x50	15:36:49.625	-0.4717	0.1074	-0.8735	-0.1221	0.5493	-0.1831	173.0017	27.9382	-91.0052	0.0000 
0x50	15:36:49.759	-0.4692	0.1060	-0.8799	-0.2441	-0.1831	-0.3662	173.0127	27.9272	-90.9174	0.0000 
0x50	15:36:49.835	-0.4722	0.1050	-0.8838	0.0000	-0.1831	-0.3052	172.9852	27.9053	-90.8514	0.0000 
0x50	15:36:49.966	-0.4683	0.1025	-0.8838	0.5493	-0.1831	-0.5493	173.0457	27.9327	-90.7800	0.0000 
0x50	15:36:50.045	-0.4644	0.1045	-0.8672	-0.5493	-0.1221	-0.1221	173.0566	28.0151	-90.7690	0.0000 
0x50	15:36:50.105	-0.4756	0.1011	-0.8931	0.1831	1.2817	0.3052	173.0072	27.9218	-90.7306	0.0000 
0x50	15:36:50.255	-0.4702	0.1094	-0.8789	2.3804	-0.0610	0.7935	173.1610	27.8943	-90.7800	0.0000 
0x50	15:36:50.315	-0.4751	0.1040	-0.8730	0.7324	1.1597	0.2441	173.2269	27.8339	-90.8734	0.0000 
0x50	15:36:50.435	-0.4746	0.1050	-0.8809	0.4272	0.7935	-1.1597	173.2928	27.7570	-90.7855	0.0000 
0x50	15:36:50.573	-0.4819	0.1016	-0.8843	0.0610	-0.1831	-2.2583	173.3862	27.7734	-90.5823	0.0000 
0x50	15:36:50.646	-0.4556	0.0962	-0.8735	0.9155	-1.4648	-2.3193	173.5730	27.8998	-90.2527	0.0000 
0x50	15:36:50.774	-0.4761	0.0967	-0.8843	-0.2441	0.0000	-0.9766	173.6389	27.9547	-90.1044	0.0000 
