StartTime: 2021-09-13 17:08:01.572
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
0x50	17:08:29.741	0.2749	-0.3628	-1.2349	166.4429	363.4644	192.8711	-46.9116	50.3888	-134.1156	0.0000 
0x50	17:08:29.781	0.4038	0.2432	-4.1064	-121.3379	-231.2622	25.5127	-50.2130	58.0078	-139.3231	0.0000 
0x50	17:08:29.853	0.5830	1.0127	-0.0122	88.0127	-500.4272	-154.9683	-40.6439	47.8674	-125.2826	0.0000 
0x50	17:08:29.861	0.2422	-0.7617	2.5249	-35.3394	-380.3101	-260.4980	-35.1892	29.9213	-120.6628	0.0000 
0x50	17:08:29.901	-0.7012	-1.4478	4.5151	-37.5977	-65.9790	-157.0435	-38.9355	14.2383	-123.6072	0.0000 
0x50	17:08:29.941	-0.2690	-1.8486	2.9873	-47.7905	196.2891	76.9043	-39.1388	14.4196	-128.8147	0.0000 
0x50	17:08:29.981	-0.4956	-0.4028	2.1431	-262.5732	349.3042	103.8208	-46.5106	23.3624	-134.9066	0.0000 
0x50	17:08:30.021	-0.0820	0.2261	1.2871	-138.9160	526.7944	152.1606	-62.1716	35.9637	-149.5679	0.0000 
0x50	17:08:30.123	0.5518	-0.0347	-0.1465	-15.3809	529.4800	199.9512	-81.4362	48.1366	-175.7208	0.0000 
0x50	17:08:30.124	0.9922	0.4595	-1.7446	-218.5059	346.9849	109.8633	-106.2433	52.5586	154.8138	0.0000 
0x50	17:08:30.141	1.0996	1.1548	-3.2544	-51.7578	-42.8467	-209.4116	-117.9602	46.0822	147.4255	0.0000 
0x50	17:08:30.181	1.1719	0.4253	-1.4463	277.0996	-453.6743	-43.0298	-103.6725	45.5603	161.7242	0.0000 
0x50	17:08:30.221	0.7280	1.0459	0.7168	309.2651	-602.1118	19.3481	-69.2249	47.1259	-169.0521	0.0000 
0x50	17:08:30.278	0.7080	-0.1885	1.9917	-80.5664	-541.5649	-380.7983	-49.8395	30.9540	-148.2935	0.0000 
0x50	17:08:30.301	-0.8823	-2.0396	4.6333	77.3926	-340.2100	255.8594	-50.3888	10.7886	-139.5648	0.0000 
