StartTime: 2022-04-09 15:30:12.844
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
0x50	15:36:52.677	-0.4775	0.0420	-0.8721	-1.1597	0.5493	1.4038	176.5723	29.0204	-70.6366	0.0000 
0x50	15:36:52.797	-0.4844	0.0479	-0.8540	1.4038	0.6104	-0.2441	176.6107	29.0259	-70.7410	0.0000 
0x50	15:36:52.889	-0.4692	0.0454	-0.8511	1.0376	0.9155	-0.4883	176.7810	28.9600	-70.6750	0.0000 
0x50	15:36:53.007	-0.4756	0.0498	-0.8477	1.8921	-2.6855	0.9155	176.9623	29.0973	-70.7025	0.0000 
0x50	15:36:53.097	-0.4849	0.0576	-0.8496	-1.9531	0.1831	-0.7935	176.9623	29.2126	-70.6805	0.0000 
0x50	15:36:53.187	-0.4746	0.0308	-0.8633	0.3052	-1.7090	-1.8921	176.8524	29.2786	-70.5597	0.0000 
0x50	15:36:53.287	-0.4785	0.0522	-0.8628	-1.3428	-0.2441	-0.5493	176.8469	29.4489	-70.4773	0.0000 
0x50	15:36:53.397	-0.4849	0.0435	-0.8604	-1.5259	0.2441	0.0000	176.7096	29.4543	-70.4388	0.0000 
0x50	15:36:53.488	-0.4883	0.0425	-0.8677	0.4883	-0.8545	0.1831	176.6766	29.4653	-70.4114	0.0000 
0x50	15:36:53.607	-0.4863	0.0527	-0.8511	-0.6104	-0.6104	1.0986	176.6931	29.5422	-70.4333	0.0000 
0x50	15:36:53.689	-0.4888	0.0474	-0.8608	-0.2441	-0.6104	0.1831	176.6217	29.5862	-70.4663	0.0000 
0x50	15:36:53.816	-0.4893	0.0454	-0.8525	0.3052	0.0000	-1.2207	176.6217	29.6136	-70.4114	0.0000 
0x50	15:36:53.888	-0.4878	0.0464	-0.8550	0.0000	-0.4883	-0.6714	176.6382	29.6356	-70.3180	0.0000 
0x50	15:36:53.996	-0.4863	0.0537	-0.8496	-0.6104	0.4272	-0.4883	176.6711	29.6686	-70.2301	0.0000 
0x50	15:36:54.117	-0.4912	0.0483	-0.8599	-0.0610	0.3662	-0.4272	176.6547	29.6576	-70.1862	0.0000 
0x50	15:36:54.206	-0.4902	0.0459	-0.8521	0.6104	-0.1221	-0.7935	176.7206	29.6466	-70.1093	0.0000 
0x50	15:36:54.298	-0.4839	0.0488	-0.8530	0.0610	-0.0610	-0.2441	176.7920	29.6741	-70.0269	0.0000 
0x50	15:36:54.417	-0.4893	0.0449	-0.8535	0.0610	-0.0610	-0.7324	176.8195	29.7070	-69.9774	0.0000 
0x50	15:36:54.507	-0.4854	0.0444	-0.8477	-0.3662	0.0000	-0.3662	176.8689	29.7510	-69.9170	0.0000 
0x50	15:36:54.687	-0.4829	0.0405	-0.8511	0.4272	-0.3662	-0.6104	176.8964	29.7565	-69.8346	0.0000 
0x50	15:36:54.687	-0.4829	0.0483	-0.8462	0.2441	-0.1831	-0.3662	176.9733	29.7455	-69.7412	0.0000 
0x50	15:36:54.807	-0.4888	0.0391	-0.8560	0.2441	0.2441	-0.6714	176.9843	29.7400	-69.7083	0.0000 
0x50	15:36:54.897	-0.4897	0.0405	-0.8511	0.6714	-0.9155	0.1831	177.0502	29.7729	-69.6753	0.0000 
0x50	15:36:55.017	-0.4888	0.0449	-0.8496	-0.2441	-0.8545	0.6714	177.0502	29.8553	-69.6918	0.0000
